f: 1    g: 0    h: 1    IIB...C.BHHHC.AAD.....D.EEGGGF.....F
f: 2    g: 1    h: 1    IIB.....BHHHC.AAD.C...D.EEGGGF.....F
f: 2    g: 1    h: 1    IIB...C.BHHHCAA.D.....D.EEGGGF.....F
f: 2    g: 1    h: 1    IIB...C.BHHHC.AAD.....DFEEGGGF......
f: 3    g: 1    h: 2    IIB...C.BHHHC.AADF....DFEEGGG.......
f: 3    g: 2    h: 1    IIB.....BHHHCAA.D.C...D.EEGGGF.....F
f: 3    g: 2    h: 1    IIB.....BHHHC.AAD.C...DFEEGGGF......
f: 3    g: 2    h: 1    IIB...C.BHHHCAA.D.....DFEEGGGF......
f: 4    g: 2    h: 2    IIB.....BHHHC.AADFC...DFEEGGG.......
f: 4    g: 2    h: 2    IIB...C.BHHHCAA.DF....DFEEGGG.......
f: 4    g: 2    h: 2    IIB...C.BHHHC.AADF....DFEEGGG.......
f: 4    g: 2    h: 2    IIB...C.BHHHC.AADF....DFEE.GGG......
f: 4    g: 3    h: 1    IIB.....BHHHCAA.D.C...DFEEGGGF......
f: 5    g: 3    h: 2    IIB.....BHHHCAA.DFC...DFEEGGG.......
f: 5    g: 3    h: 2    IIB.....BHHHC.AADFC...DFEEGGG.......
f: 5    g: 3    h: 2    IIB...C.BHHHCAA.DF....DFEEGGG.......
f: 5    g: 3    h: 2    IIB.....BHHHC.AADFC...DFEE.GGG......
f: 5    g: 3    h: 2    IIB...C.BHHHCAA.DF....DFEE.GGG......
f: 5    g: 3    h: 2    IIB...C.BHHHC.AADF....DFEE.GGG......
f: 5    g: 3    h: 2    IIB...C.BHHHC.AADF....DF.EEGGG......
f: 6    g: 4    h: 2    IIB.....BHHHCAA.DFC...DFEEGGG.......
f: 6    g: 4    h: 2    IIB.....BHHHCAA.DFC...DFEE.GGG......
f: 6    g: 4    h: 2    IIB.....BHHHC.AADFC...DFEE.GGG......
f: 6    g: 4    h: 2    IIB...C.BHHHCAA.DF....DFEE.GGG......
f: 6    g: 4    h: 2    IIB.....BHHHC.AADFC...DF.EEGGG......
f: 6    g: 4    h: 2    IIB...C.BHHHCAA.DF....DF.EEGGG......
f: 6    g: 4    h: 2    IIB...C.BHHHC.AADF....DF.EEGGG......
f: 6    g: 4    h: 2    IIB.....BHHH..AADF....DFCEEGGGC.....
f: 6    g: 4    h: 2    IIB.....BHHH..AADFC...DFCEEGGG......
f: 7    g: 5    h: 2    IIB.....BHHHCAA.DFC...DFEE.GGG......
f: 7    g: 5    h: 2    IIB.....BHHHCAA.DFC...DF.EEGGG......
f: 7    g: 5    h: 2    IIB.....BHHHC.AADFC...DF.EEGGG......
f: 7    g: 5    h: 2    IIB...C.BHHHCAA.DF....DF.EEGGG......
f: 7    g: 5    h: 2    IIB.....BHHH..AADF....DFCEEGGGC.....
f: 7    g: 5    h: 2    IIB.....BHHH..AADFC...DFCEEGGG......
f: 7    g: 5    h: 2    IIB.....BHHH.AA.DF....DFCEEGGGC.....
f: 7    g: 5    h: 2    IIB.....BHHH.AA.DFC...DFCEEGGG......
f: 7    g: 5    h: 2    IIB.....BHHHAA..DF....DFCEEGGGC.....
f: 7    g: 5    h: 2    IIB.....BHHHAA..DFC...DFCEEGGG......
f: 8    g: 6    h: 2    IIB.....BHHHCAA.DFC...DF.EEGGG......
f: 8    g: 6    h: 2    IIB.....BHHH.AA.DF....DFCEEGGGC.....
f: 8    g: 6    h: 2    IIB.....BHHH.AA.DFC...DFCEEGGG......
f: 8    g: 6    h: 2    IIB.....BHHHAA..DF....DFCEEGGGC.....
f: 8    g: 6    h: 2    IIB.....BHHHAA..DFC...DFCEEGGG......
f: 9    g: 6    h: 3    II.......HHHAAB.DF..B.DFCEEGGGC.....
f: 9    g: 6    h: 3    II......BHHHAAB.DF....DFCEEGGGC.....
f: 9    g: 6    h: 3    II.......HHHAAB.DFC.B.DFCEEGGG......
f: 9    g: 6    h: 3    II......BHHHAAB.DFC...DFCEEGGG......
f: 10   g: 7    h: 3    II.......HHHAAB.DF..B.DFCEEGGGC.....
f: 10   g: 7    h: 3    II......BHHHAAB.DF....DFCEEGGGC.....
f: 10   g: 7    h: 3    II.......HHHAAB.DFC.B.DFCEEGGG......
f: 10   g: 7    h: 3    II......BHHHAAB.DFC...DFCEEGGG......
f: 10   g: 7    h: 3    II......HHH.AAB.DF..B.DFCEEGGGC.....
f: 10   g: 7    h: 3    II.....HHH..AAB.DF..B.DFCEEGGGC.....
f: 10   g: 7    h: 3    II....HHH...AAB.DF..B.DFCEEGGGC.....
f: 10   g: 7    h: 3    ....II...HHHAAB.DF..B.DFCEEGGGC.....
f: 10   g: 7    h: 3    ...II....HHHAAB.DF..B.DFCEEGGGC.....
f: 10   g: 7    h: 3    ..II.....HHHAAB.DF..B.DFCEEGGGC.....
f: 10   g: 7    h: 3    .II......HHHAAB.DF..B.DFCEEGGGC.....
f: 10   g: 7    h: 3    ....II..BHHHAAB.DF....DFCEEGGGC.....
f: 10   g: 7    h: 3    ...II...BHHHAAB.DF....DFCEEGGGC.....
f: 10   g: 7    h: 3    ..II....BHHHAAB.DF....DFCEEGGGC.....
f: 10   g: 7    h: 3    .II.....BHHHAAB.DF....DFCEEGGGC.....
f: 10   g: 7    h: 3    II......HHH.AAB.DFC.B.DFCEEGGG......
f: 10   g: 7    h: 3    II.....HHH..AAB.DFC.B.DFCEEGGG......
f: 10   g: 7    h: 3    II....HHH...AAB.DFC.B.DFCEEGGG......
f: 10   g: 7    h: 3    ....II...HHHAAB.DFC.B.DFCEEGGG......
f: 10   g: 7    h: 3    ...II....HHHAAB.DFC.B.DFCEEGGG......
f: 10   g: 7    h: 3    ..II.....HHHAAB.DFC.B.DFCEEGGG......
f: 10   g: 7    h: 3    .II......HHHAAB.DFC.B.DFCEEGGG......
f: 10   g: 7    h: 3    ....II..BHHHAAB.DFC...DFCEEGGG......
f: 10   g: 7    h: 3    ...II...BHHHAAB.DFC...DFCEEGGG......
f: 10   g: 7    h: 3    ..II....BHHHAAB.DFC...DFCEEGGG......
f: 10   g: 7    h: 3    .II.....BHHHAAB.DFC...DFCEEGGG......
f: 10   g: 8    h: 2    II...F..HHHFAAB.D...B.D.CEEGGGC.....
f: 10   g: 8    h: 2    II..D..HHHD.AAB..F..B..FCEEGGGC.....
f: 10   g: 8    h: 2    II...F.HHH.FAAB.D...B.D.CEEGGGC.....
f: 10   g: 8    h: 2    II..D.HHH.D.AAB..F..B..FCEEGGGC.....
f: 10   g: 8    h: 2    II...FHHH..FAAB.D...B.D.CEEGGGC.....
f: 10   g: 8    h: 2    ..B.II..BHHHAA..DF....DFCEEGGGC.....
f: 10   g: 8    h: 2    ..BII...BHHHAA..DF....DFCEEGGGC.....
f: 10   g: 8    h: 2    II...F..HHHFAAB.D.C.B.D.CEEGGG......
f: 10   g: 8    h: 2    II..D..HHHD.AAB..FC.B..FCEEGGG......
f: 10   g: 8    h: 2    II...F.HHH.FAAB.D.C.B.D.CEEGGG......
f: 10   g: 8    h: 2    II..D.HHH.D.AAB..FC.B..FCEEGGG......
f: 10   g: 8    h: 2    II...FHHH..FAAB.D.C.B.D.CEEGGG......
f: 10   g: 8    h: 2    ..B.II..BHHHAA..DFC...DFCEEGGG......
f: 10   g: 8    h: 2    ..BII...BHHHAA..DFC...DFCEEGGG......
f: 10   g: 9    h: 1    II..DF.HHHDFAAB.....B...CEEGGGC.....
f: 10   g: 9    h: 1    II..DFHHH.DFAAB.....B...CEEGGGC.....
f: 10   g: 9    h: 1    II..DF.HHHDFAAB...C.B...CEEGGG......
f: 10   g: 9    h: 1    II..DFHHH.DFAAB...C.B...CEEGGG......
f: 11   g: 8    h: 3    II......HHH.AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    II.....HHH..AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    II....HHH...AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    ....II...HHHAAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    ...II....HHHAAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    ..II.....HHHAAB.DF..B.DFCEEGGGC.....
