f: 2    g: 0    h: 2    BBBJCCH..J.KHAAJ.K..IDDLEEI..L....GG
f: 3    g: 1    h: 2    BBBJCCH..J.KHAAJ.K..IDDLEEI..L...GG.
f: 3    g: 1    h: 2    BBBJCCH..J.KHAAJ.K..IDDLEEI..L..GG..
f: 3    g: 1    h: 2    BBBJCCH..J.KHAAJ.K..IDDLEEI..L.GG...
f: 3    g: 1    h: 2    BBBJCCH..J.KHAAJ.K..IDDLEEI..LGG....
f: 3    g: 1    h: 2    BBBJCC...J.KHAAJ.KH.IDDLEEI..L....GG
f: 3    g: 1    h: 2    BBBJCCH..J.KHAAJ.K...DDLEEI..L..I.GG
f: 4    g: 2    h: 2    BBBJCCH..J.KHAAJ.K..IDDLEEI..L..GG..
f: 4    g: 2    h: 2    BBBJCCH..J.KHAAJ.K..IDDLEEI..L.GG...
f: 4    g: 2    h: 2    BBBJCCH..J.KHAAJ.K..IDDLEEI..LGG....
f: 4    g: 2    h: 2    BBBJCCH..J.KHAAJ.K..IDD.EEI..L...GGL
f: 4    g: 2    h: 2    BBBJCC...J.KHAAJ.KH.IDDLEEI..L...GG.
f: 4    g: 2    h: 2    BBBJCCH..J.KHAAJ.K...DDLEEI..L..IGG.
f: 4    g: 2    h: 2    BBBJCCH..J.KHAAJ.K..IDD.EEI..L..GG.L
f: 4    g: 2    h: 2    BBBJCC...J.KHAAJ.KH.IDDLEEI..L..GG..
f: 4    g: 2    h: 2    BBBJCCH..J.KHAAJ.K..IDD.EEI..L.GG..L
f: 4    g: 2    h: 2    BBBJCC...J.KHAAJ.KH.IDDLEEI..L.GG...
f: 4    g: 2    h: 2    BBBJCCH..J.KHAAJ.K..IDD.EEI..LGG...L
f: 4    g: 2    h: 2    BBBJCC...J.KHAAJ.KH.IDDLEEI..LGG....
f: 4    g: 2    h: 2    BBBJCCH..J.KHAAJ.K...DDLEEI..LGGI...
f: 4    g: 2    h: 2    BBBJCC...J.KHAAJ.KH..DDLEEI..L..I.GG
