Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
0,UCS,N/A,4,328,0.15018916130065918
0,GBFS,h1,4,30,0.012935638427734375
0,GBFS,h2,4,30,0.011998653411865234
0,GBFS,h3,4,30,0.06579256057739258
0,GBFS,h4,5,94,0.042883872985839844
0,GBFS,h5,5,25,0.009973526000976562
0,A/A*,h1,4,113,0.05288815498352051
0,A/A*,h2,4,113,0.04884195327758789
0,A/A*,h3,4,39,0.015958547592163086
0,A/A*,h4,4,144,0.13759994506835938
0,A/A*,h5,4,40,0.021941423416137695
1,UCS,N/A,2,38,0.02296137809753418
1,GBFS,h1,2,3,0.0009989738464355469
1,GBFS,h2,2,3,0.0009958744049072266
1,GBFS,h3,2,3,0.0009968280792236328
1,GBFS,h4,2,3,0.000997781753540039
1,GBFS,h5,2,3,0.000997781753540039
1,A/A*,h1,2,12,0.00698089599609375
1,A/A*,h2,2,12,0.0059854984283447266
1,A/A*,h3,2,3,0.0009961128234863281
1,A/A*,h4,2,12,0.00598454475402832
1,A/A*,h5,2,3,0.0009970664978027344
2,UCS,N/A,2,30,0.012969255447387695
2,GBFS,h1,2,3,0.0019867420196533203
2,GBFS,h2,2,3,0.0010001659393310547
2,GBFS,h3,2,3,0.0009996891021728516
2,GBFS,h4,2,9,0.0029921531677246094
2,GBFS,h5,2,3,0.0009958744049072266
2,A/A*,h1,2,9,0.003989219665527344
2,A/A*,h2,2,3,0.0009982585906982422
2,A/A*,h3,2,3,0.000995635986328125
2,A/A*,h4,2,9,0.003960371017456055
2,A/A*,h5,2,3,0.0009958744049072266
3,UCS,N/A,3,207,0.11173272132873535
3,GBFS,h1,3,8,0.003981590270996094
3,GBFS,h2,3,8,0.002999544143676758
3,GBFS,h3,3,8,0.08873343467712402
3,GBFS,h4,3,42,0.025927305221557617
3,GBFS,h5,3,7,0.003024578094482422
3,A/A*,h1,3,45,0.024899005889892578
3,A/A*,h2,3,45,0.023967742919921875
3,A/A*,h3,3,16,0.009973764419555664
3,A/A*,h4,3,62,0.033908843994140625
3,A/A*,h5,3,14,0.007980585098266602
4,UCS,N/A,4,137,0.06080436706542969
4,GBFS,h1,4,6,0.0019948482513427734
4,GBFS,h2,4,6,0.001994609832763672
4,GBFS,h3,4,6,0.0019936561584472656
4,GBFS,h4,4,22,0.008975505828857422
4,GBFS,h5,4,5,0.0019948482513427734
4,A/A*,h1,4,29,0.011966466903686523
4,A/A*,h2,4,10,0.003990888595581055
4,A/A*,h3,4,6,0.00299072265625
4,A/A*,h4,4,65,0.029922008514404297
4,A/A*,h5,4,10,0.003988027572631836
5,UCS,N/A,1,2,0.000997304916381836
5,GBFS,h1,1,2,0.0
5,GBFS,h2,1,2,0.000997304916381836
5,GBFS,h3,1,2,0.0010051727294921875
5,GBFS,h4,1,2,0.0
5,GBFS,h5,1,2,0.000990152359008789
5,A/A*,h1,1,2,0.000997781753540039
5,A/A*,h2,1,2,0.0
5,A/A*,h3,1,2,0.0009965896606445312
5,A/A*,h4,1,2,0.0009968280792236328
5,A/A*,h5,1,2,0.0
6,UCS,N/A,N/A,3547,2.801408529281616
6,GBFS,h1,N/A,1790,1.2698783874511719
6,GBFS,h2,N/A,1790,1.317004919052124
6,GBFS,h3,N/A,1790,0.8497650623321533
6,GBFS,h4,N/A,1790,1.3109016418457031
6,GBFS,h5,N/A,1790,1.489231824874878
6,A/A*,h1,N/A,3717,2.7383995056152344
6,A/A*,h2,N/A,3717,3.157785177230835
6,A/A*,h3,N/A,5405,4.299283504486084
6,A/A*,h4,N/A,3527,2.0933163166046143
6,A/A*,h5,N/A,3811,3.5470192432403564
7,UCS,N/A,6,863,0.3955366611480713
7,GBFS,h1,6,15,0.006981372833251953
7,GBFS,h2,6,15,0.005984306335449219
7,GBFS,h3,6,15,0.004803180694580078
7,GBFS,h4,8,257,0.12337493896484375
7,GBFS,h5,6,15,0.005984067916870117
7,A/A*,h1,6,216,0.10784244537353516
