Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
0,UCS,N/A,2,18,0.012963533401489258
0,GBFS,h1,2,3,0.0009984970092773438
0,GBFS,h2,2,3,0.000997781753540039
0,GBFS,h3,2,3,0.0009968280792236328
0,GBFS,h4,2,6,0.003991365432739258
0,GBFS,h5,2,3,0.000993967056274414
0,A/A*,h1,2,7,0.0029921531677246094
0,A/A*,h2,2,7,0.0029921531677246094
0,A/A*,h3,2,4,0.001995086669921875
0,A/A*,h4,2,7,0.003988981246948242
0,A/A*,h5,2,4,0.001995563507080078
1,UCS,N/A,10,3182,1.7573308944702148
1,GBFS,h1,10,137,0.08879232406616211
1,GBFS,h2,10,137,0.08331990242004395
1,GBFS,h3,10,137,0.08428788185119629
1,GBFS,h4,13,594,0.29681944847106934
1,GBFS,h5,11,194,0.09523177146911621
1,A/A*,h1,10,822,0.44368886947631836
1,A/A*,h2,10,822,0.4360814094543457
1,A/A*,h3,10,362,0.2162480354309082
1,A/A*,h4,10,1495,0.8859765529632568
1,A/A*,h5,10,413,0.21311473846435547
2,UCS,N/A,17,9972,17.261706113815308
2,GBFS,h1,24,2855,1.7508139610290527
2,GBFS,h2,24,2855,1.3632380962371826
2,GBFS,h3,24,2855,1.3743188381195068
2,GBFS,h4,18,2556,1.1500053405761719
2,GBFS,h5,18,2708,1.3392798900604248
2,A/A*,h1,17,8899,4.759118556976318
2,A/A*,h2,17,8899,6.078791856765747
2,A/A*,h3,17,6657,3.4998574256896973
2,A/A*,h4,17,9624,5.630873918533325
2,A/A*,h5,17,7663,51.62088704109192
3,UCS,N/A,N/A,262,0.0971364974975586
3,GBFS,h1,N/A,156,0.06110882759094238
3,GBFS,h2,N/A,156,0.06078529357910156
3,GBFS,h3,N/A,156,0.0629734992980957
3,GBFS,h4,N/A,156,0.051343679428100586
3,GBFS,h5,N/A,156,0.07724118232727051
3,A/A*,h1,N/A,254,0.12431097030639648
3,A/A*,h2,N/A,254,0.09128403663635254
3,A/A*,h3,N/A,328,0.13964343070983887
3,A/A*,h4,N/A,262,0.10931777954101562
3,A/A*,h5,N/A,254,0.10027384757995605
4,UCS,N/A,N/A,672,0.2627408504486084
4,GBFS,h1,N/A,353,0.1371290683746338
4,GBFS,h2,N/A,353,0.12313318252563477
4,GBFS,h3,N/A,353,0.1312847137451172
4,GBFS,h4,N/A,353,0.12366199493408203
4,GBFS,h5,N/A,353,0.13846755027770996
4,A/A*,h1,N/A,663,0.27100539207458496
4,A/A*,h2,N/A,663,0.269207239151001
4,A/A*,h3,N/A,663,0.2951035499572754
4,A/A*,h4,N/A,664,0.26972413063049316
4,A/A*,h5,N/A,663,0.6184465885162354
5,UCS,N/A,32,1556,1.1880991458892822
5,GBFS,h1,36,559,0.1874241828918457
5,GBFS,h2,36,559,0.2115159034729004
5,GBFS,h3,36,559,0.19200468063354492
5,GBFS,h4,36,582,0.20183324813842773
5,GBFS,h5,40,559,0.20892930030822754
5,A/A*,h1,32,1127,0.4796266555786133
5,A/A*,h2,32,1127,0.49025940895080566
5,A/A*,h3,32,1376,0.571746826171875
5,A/A*,h4,32,1347,0.5729186534881592
5,A/A*,h5,32,1012,0.4323451519012451
