f: 3    g: 0    h: 3    BBB..MCCDD.MAAKL.MJ.KLEEJ.GG..JHHHII
f: 4    g: 1    h: 3    ..BBBMCCDD.MAAKL.MJ.KLEEJ.GG..JHHHII
f: 4    g: 1    h: 3    .BBB.MCCDD.MAAKL.MJ.KLEEJ.GG..JHHHII
f: 4    g: 1    h: 3    BBB..MCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
f: 4    g: 1    h: 3    BBB..MCCDD.MAAKL.MJ.KLEEJ..GG.JHHHII
f: 4    g: 1    h: 3    BBB..MCCDD.MAAKL.MJ.KLEEJGG...JHHHII
f: 4    g: 1    h: 3    BBB..MCC.DDMAAKL.MJ.KLEEJ.GG..JHHHII
f: 4    g: 2    h: 2    BBB..MCCDD.MAAK..MJ.KLEEJ..LGGJHHHII
f: 4    g: 2    h: 2    BBB..MCCDD.MAA.L.MJ.KLEEJ.K.GGJHHHII
f: 4    g: 2    h: 2    BBB..MCCDD.MAA.L.MJ.KLEEJ.KGG.JHHHII
f: 4    g: 2    h: 2    BBB..MCCDD.MAAK..MJ.KLEEJGGL..JHHHII
f: 4    g: 3    h: 1    BBB..MCCDD.MAA...MJ.KLEEJ.KLGGJHHHII
f: 5    g: 2    h: 3    .BBB.MCCDD.MAAKL.MJ.KLEEJ.GG..JHHHII
f: 5    g: 2    h: 3    ..BBBMCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
f: 5    g: 2    h: 3    ..BBBMCCDD.MAAKL.MJ.KLEEJ..GG.JHHHII
f: 5    g: 2    h: 3    ..BBBMCCDD.MAAKL.MJ.KLEEJGG...JHHHII
f: 5    g: 2    h: 3    ..BBBMCC.DDMAAKL.MJ.KLEEJ.GG..JHHHII
f: 5    g: 2    h: 3    .BBB.MCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
f: 5    g: 2    h: 3    .BBB.MCCDD.MAAKL.MJ.KLEEJ..GG.JHHHII
f: 5    g: 2    h: 3    .BBB.MCCDD.MAAKL.MJ.KLEEJGG...JHHHII
f: 5    g: 2    h: 3    .BBB.MCC.DDMAAKL.MJ.KLEEJ.GG..JHHHII
f: 5    g: 2    h: 3    BBB..MCCDD.MAAKL.MJ.KLEEJ..GG.JHHHII
f: 5    g: 2    h: 3    BBB..MCCDD.MAAKL.MJ.KLEEJGG...JHHHII
f: 5    g: 2    h: 3    BBB..MCC.DDMAAKL.MJ.KLEEJ...GGJHHHII
f: 5    g: 2    h: 3    BBB..MCC.DDMAAKL.MJ.KLEEJ..GG.JHHHII
f: 5    g: 2    h: 3    BBB..MCC.DDMAAKL.MJ.KLEEJGG...JHHHII
f: 5    g: 2    h: 3    BBB..MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII
f: 5    g: 2    h: 3    BBB..M.CCDDMAAKL.MJ.KLEEJ.GG..JHHHII
f: 5    g: 3    h: 2    ..BBBMCCDD.MAAK..MJ.KLEEJ..LGGJHHHII
f: 5    g: 3    h: 2    .BBB.MCCDD.MAAK..MJ.KLEEJ..LGGJHHHII
f: 5    g: 3    h: 2    BBB..MCC.DDMAAK..MJ.KLEEJ..LGGJHHHII
f: 5    g: 3    h: 2    BBB..MCCDD.M.AAL.MJ.KLEEJ.K.GGJHHHII
f: 5    g: 3    h: 2    ..BBBMCCDD.MAA.L.MJ.KLEEJ.K.GGJHHHII
f: 5    g: 3    h: 2    .BBB.MCCDD.MAA.L.MJ.KLEEJ.K.GGJHHHII
f: 5    g: 3    h: 2    BBB..MCCDD.MAA.L.MJ.KLEEJ.KGG.JHHHII
f: 5    g: 3    h: 2    BBB..MCC.DDMAA.L.MJ.KLEEJ.K.GGJHHHII
f: 5    g: 3    h: 2    BBB..MCCDD.M.AAL.MJ.KLEEJ.KGG.JHHHII
f: 5    g: 3    h: 2    ..BBBMCCDD.MAA.L.MJ.KLEEJ.KGG.JHHHII
f: 5    g: 3    h: 2    .BBB.MCCDD.MAA.L.MJ.KLEEJ.KGG.JHHHII
f: 5    g: 3    h: 2    BBB..MCC.DDMAA.L.MJ.KLEEJ.KGG.JHHHII
f: 5    g: 3    h: 2    ..BBBMCCDD.MAAK..MJ.KLEEJGGL..JHHHII
f: 5    g: 3    h: 2    .BBB.MCCDD.MAAK..MJ.KLEEJGGL..JHHHII
f: 5    g: 3    h: 2    BBB..MCC.DDMAAK..MJ.KLEEJGGL..JHHHII
f: 5    g: 4    h: 1    BBB..MCCDD.M...AAMJ.KLEEJ.KLGGJHHHII
f: 5    g: 4    h: 1    BBB..MCCDD.M..AA.MJ.KLEEJ.KLGGJHHHII
f: 5    g: 4    h: 1    BBB..MCCDD.M.AA..MJ.KLEEJ.KLGGJHHHII
f: 5    g: 4    h: 1    ..BBBMCCDD.MAA...MJ.KLEEJ.KLGGJHHHII
f: 5    g: 4    h: 1    .BBB.MCCDD.MAA...MJ.KLEEJ.KLGGJHHHII
f: 5    g: 4    h: 1    BBB..MCC.DDMAA...MJ.KLEEJ.KLGGJHHHII
f: 6    g: 3    h: 3    .BBB.MCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
