f: 2    g: 0    h: 2    IJBBCCIJDDL.IJAAL.EEK.L...KFF..GGHH.
f: 3    g: 1    h: 2    IJBBCCIJDDL.IJAAL.EEK.L...KFF.GG.HH.
f: 3    g: 1    h: 2    IJBBCCIJDDL.IJAAL.EEK.L...KFF..GG.HH
f: 4    g: 2    h: 2    IJBBCCIJDDL.IJAAL.EEK.L...KFF.GG..HH
f: 4    g: 2    h: 2    IJBBCCIJDDL.IJAAL.EEK.L...KFF.GGHH..
f: 4    g: 2    h: 2    IJBBCCIJDDL.IJAAL.EE..L...KFF.GGKHH.
f: 4    g: 2    h: 2    IJBBCCIJDDL.IJAAL.EEK.L...KFF...GGHH
f: 5    g: 3    h: 2    IJBBCCIJDDL.IJAAL.EEK.L...KFF...GGHH
f: 5    g: 3    h: 2    IJBBCCIJDDL.IJAAL.EEK.L...KFF.GGHH..
f: 5    g: 3    h: 2    IJBBCCIJDDL.IJAAL.EE..L...KFF.GGK.HH
f: 5    g: 3    h: 2    IJBBCCIJDDL.IJAAL...EEL...KFF.GGKHH.
f: 5    g: 3    h: 2    IJBBCCIJDDL.IJAAL..EE.L...KFF.GGKHH.
f: 6    g: 4    h: 2    IJBBCCIJDDL.IJAAL...EEL...KFF.GGK.HH
f: 6    g: 4    h: 2    IJBBCCIJDDL.IJAAL..EE.L...KFF.GGK.HH
f: 6    g: 4    h: 2    I.BBCCI.DDL.IJAAL..JEEL..JKFF.GGKHH.
f: 6    g: 4    h: 2    I.BBCCIJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 6    g: 4    h: 2    IJBBCCIJDDL.IJAAL..EE.L...KFF.GGKHH.
f: 6    g: 4    h: 2    .JBBCC.JDDL.IJAAL.I.EEL.I.KFF.GGKHH.
f: 6    g: 4    h: 2    .JBBCCIJDDL.IJAAL.I.EEL...KFF.GGKHH.
f: 6    g: 4    h: 2    .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGKHH.
f: 6    g: 4    h: 2    .JBBCCIJDDL.IJAAL.IEE.L...KFF.GGKHH.
f: 7    g: 5    h: 2    I.BBCCI.DDL.IJAAL..JEEL..JKFF.GGK.HH
f: 7    g: 5    h: 2    I.BBCCIJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 7    g: 5    h: 2    IJBBCCIJDDL.IJAAL..EE.L...KFF.GGK.HH
f: 7    g: 5    h: 2    .JBBCC.JDDL.IJAAL.I.EEL.I.KFF.GGK.HH
f: 7    g: 5    h: 2    .JBBCCIJDDL.IJAAL.I.EEL...KFF.GGK.HH
f: 7    g: 5    h: 2    .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGK.HH
f: 7    g: 5    h: 2    .JBBCCIJDDL.IJAAL.IEE.L...KFF.GGK.HH
f: 7    g: 5    h: 2    I.BBCCIJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 7    g: 5    h: 2    IBB.CCI.DDL.IJAAL..JEEL..JKFF.GGKHH.
f: 7    g: 5    h: 2    ..BBCC..DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 7    g: 5    h: 2    ..BBCCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 7    g: 5    h: 2    I.BBCCIDD.L.IJAAL..JEEL..JKFF.GGKHH.
f: 7    g: 5    h: 2    IBB.CCIJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 7    g: 5    h: 2    ..BBCC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 7    g: 5    h: 2    ..BBCCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 7    g: 5    h: 2    .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGKHH.
f: 7    g: 5    h: 2    .JBBCCIJDDL.IJAAL.IEE.L...KFF.GGKHH.
f: 7    g: 5    h: 2    .JBBCCIJDDL.IJAAL.I.EEL...KFF.GGKHH.
f: 8    g: 6    h: 2    I.BBCCIJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 8    g: 6    h: 2    IBB.CCI.DDL.IJAAL..JEEL..JKFF.GGK.HH
f: 8    g: 6    h: 2    ..BBCC..DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 8    g: 6    h: 2    ..BBCCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 8    g: 6    h: 2    I.BBCCIDD.L.IJAAL..JEEL..JKFF.GGK.HH
f: 8    g: 6    h: 2    IBB.CCIJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 8    g: 6    h: 2    ..BBCC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 8    g: 6    h: 2    ..BBCCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 8    g: 6    h: 2    .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGK.HH
f: 8    g: 6    h: 2    .JBBCCIJDDL.IJAAL.IEE.L...KFF.GGK.HH
f: 8    g: 6    h: 2    .JBBCCIJDDL.IJAAL.I.EEL...KFF.GGK.HH
f: 8    g: 6    h: 2    IBB.CCIJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 8    g: 6    h: 2    ..BBCC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 8    g: 6    h: 2    ..BBCCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 8    g: 6    h: 2    IBBCC.I.DDL.IJAAL..JEEL..JKFF.GGKHH.
f: 8    g: 6    h: 2    .BB.CC..DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8    g: 6    h: 2    .BB.CCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 8    g: 6    h: 2    IBB.CCIDD.L.IJAAL..JEEL..JKFF.GGKHH.
f: 8    g: 6    h: 2    BB..CC..DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8    g: 6    h: 2    ..BBCCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 8    g: 6    h: 2    ..BBCC.DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8    g: 6    h: 2    ..BBCCDD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8    g: 6    h: 2    BB..CCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 8    g: 6    h: 2    ..BBCCIDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 8    g: 6    h: 2    IBBCC.IJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 8    g: 6    h: 2    .BB.CC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 8    g: 6    h: 2    .BB.CCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 8    g: 6    h: 2    BB..CC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 8    g: 6    h: 2    BB..CCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 9    g: 7    h: 2    IBB.CCIJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 9    g: 7    h: 2    ..BBCC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 9    g: 7    h: 2    ..BBCCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 9    g: 7    h: 2    IBBCC.I.DDL.IJAAL..JEEL..JKFF.GGK.HH
f: 9    g: 7    h: 2    .BB.CC..DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9    g: 7    h: 2    .BB.CCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 9    g: 7    h: 2    IBB.CCIDD.L.IJAAL..JEEL..JKFF.GGK.HH
f: 9    g: 7    h: 2    BB..CC..DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9    g: 7    h: 2    ..BBCCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 9    g: 7    h: 2    ..BBCC.DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9    g: 7    h: 2    ..BBCCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9    g: 7    h: 2    BB..CCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 9    g: 7    h: 2    ..BBCCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 9    g: 7    h: 2    IBBCC.IJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 9    g: 7    h: 2    .BB.CC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 9    g: 7    h: 2    .BB.CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 9    g: 7    h: 2    BB..CC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 9    g: 7    h: 2    BB..CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 9    g: 7    h: 2    IBBCC.IJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 9    g: 7    h: 2    .BB.CC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 9    g: 7    h: 2    .BB.CCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 9    g: 7    h: 2    BB..CC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 9    g: 7    h: 2    BB..CCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 9    g: 7    h: 2    .BBCC...DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9    g: 7    h: 2    .BBCC.I.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 9    g: 7    h: 2    IBBCC.IDD.L.IJAAL..JEEL..JKFF.GGKHH.
f: 9    g: 7    h: 2    BB..CC..DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9    g: 7    h: 2    .BB.CCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 9    g: 7    h: 2    .BB.CC.DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9    g: 7    h: 2    .BB.CCDD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9    g: 7    h: 2    BB..CCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 9    g: 7    h: 2    .BB.CCIDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 9    g: 7    h: 2    BB.CC...DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9    g: 7    h: 2    BBCC....DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9    g: 7    h: 2    BB..CC.DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9    g: 7    h: 2    BB..CCDD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9    g: 7    h: 2    ..BBCCIDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 9    g: 7    h: 2    ..BBCCDD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9    g: 7    h: 2    BB.CC.I.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 9    g: 7    h: 2    BBCC..I.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 9    g: 7    h: 2    BB..CCIDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 9    g: 7    h: 2    .BBCC..JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 9    g: 7    h: 2    .BBCC.IJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 9    g: 7    h: 2    BB.CC..JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 9    g: 7    h: 2    BBCC...JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 9    g: 7    h: 2    BB.CC.IJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 9    g: 7    h: 2    BBCC..IJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 10   g: 8    h: 2    IBBCC.IJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 10   g: 8    h: 2    .BB.CC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 10   g: 8    h: 2    .BB.CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 10   g: 8    h: 2    BB..CC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 10   g: 8    h: 2    BB..CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 10   g: 8    h: 2    .BBCC...DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10   g: 8    h: 2    .BBCC.I.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 10   g: 8    h: 2    IBBCC.IDD.L.IJAAL..JEEL..JKFF.GGK.HH
f: 10   g: 8    h: 2    BB..CC..DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10   g: 8    h: 2    .BB.CCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 10   g: 8    h: 2    .BB.CC.DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10   g: 8    h: 2    .BB.CCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10   g: 8    h: 2    BB..CCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 10   g: 8    h: 2    .BB.CCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 10   g: 8    h: 2    BB.CC...DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10   g: 8    h: 2    BBCC....DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10   g: 8    h: 2    BB..CC.DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10   g: 8    h: 2    BB..CCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10   g: 8    h: 2    ..BBCCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 10   g: 8    h: 2    ..BBCCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10   g: 8    h: 2    BB.CC.I.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 10   g: 8    h: 2    BBCC..I.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 10   g: 8    h: 2    BB..CCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 10   g: 8    h: 2    .BBCC..JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 10   g: 8    h: 2    .BBCC.IJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 10   g: 8    h: 2    BB.CC..JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 10   g: 8    h: 2    BBCC...JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 10   g: 8    h: 2    BB.CC.IJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 10   g: 8    h: 2    BBCC..IJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 10   g: 8    h: 2    .BBCC..JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 10   g: 8    h: 2    .BBCC.IJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 10   g: 8    h: 2    BB.CC..JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
