f: 1.5  g: 0    h: 1.5  IJBBCCIJDDL.IJAAL.EEK.L...KFF..GGHH.
f: 2.5  g: 1    h: 1.5  IJBBCCIJDDL.IJAAL.EEK.L...KFF.GG.HH.
f: 2.5  g: 1    h: 1.5  IJBBCCIJDDL.IJAAL.EEK.L...KFF..GG.HH
f: 3.5  g: 2    h: 1.5  IJBBCCIJDDL.IJAAL.EEK.L...KFF.GG..HH
f: 3.5  g: 2    h: 1.5  IJBBCCIJDDL.IJAAL.EEK.L...KFF.GGHH..
f: 3.5  g: 2    h: 1.5  IJBBCCIJDDL.IJAAL.EE..L...KFF.GGKHH.
f: 3.5  g: 2    h: 1.5  IJBBCCIJDDL.IJAAL.EEK.L...KFF...GGHH
f: 4.5  g: 3    h: 1.5  IJBBCCIJDDL.IJAAL.EEK.L...KFF...GGHH
f: 4.5  g: 3    h: 1.5  IJBBCCIJDDL.IJAAL.EEK.L...KFF.GGHH..
f: 4.5  g: 3    h: 1.5  IJBBCCIJDDL.IJAAL.EE..L...KFF.GGK.HH
f: 4.5  g: 3    h: 1.5  IJBBCCIJDDL.IJAAL...EEL...KFF.GGKHH.
f: 4.5  g: 3    h: 1.5  IJBBCCIJDDL.IJAAL..EE.L...KFF.GGKHH.
f: 5.5  g: 4    h: 1.5  IJBBCCIJDDL.IJAAL...EEL...KFF.GGK.HH
f: 5.5  g: 4    h: 1.5  IJBBCCIJDDL.IJAAL..EE.L...KFF.GGK.HH
f: 5.5  g: 4    h: 1.5  I.BBCCI.DDL.IJAAL..JEEL..JKFF.GGKHH.
f: 5.5  g: 4    h: 1.5  I.BBCCIJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 5.5  g: 4    h: 1.5  IJBBCCIJDDL.IJAAL..EE.L...KFF.GGKHH.
f: 5.5  g: 4    h: 1.5  .JBBCC.JDDL.IJAAL.I.EEL.I.KFF.GGKHH.
f: 5.5  g: 4    h: 1.5  .JBBCCIJDDL.IJAAL.I.EEL...KFF.GGKHH.
f: 5.5  g: 4    h: 1.5  .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGKHH.
f: 5.5  g: 4    h: 1.5  .JBBCCIJDDL.IJAAL.IEE.L...KFF.GGKHH.
f: 6.5  g: 5    h: 1.5  I.BBCCI.DDL.IJAAL..JEEL..JKFF.GGK.HH
f: 6.5  g: 5    h: 1.5  I.BBCCIJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 6.5  g: 5    h: 1.5  IJBBCCIJDDL.IJAAL..EE.L...KFF.GGK.HH
f: 6.5  g: 5    h: 1.5  .JBBCC.JDDL.IJAAL.I.EEL.I.KFF.GGK.HH
f: 6.5  g: 5    h: 1.5  .JBBCCIJDDL.IJAAL.I.EEL...KFF.GGK.HH
f: 6.5  g: 5    h: 1.5  .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGK.HH
f: 6.5  g: 5    h: 1.5  .JBBCCIJDDL.IJAAL.IEE.L...KFF.GGK.HH
f: 6.5  g: 5    h: 1.5  I.BBCCIJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 6.5  g: 5    h: 1.5  IBB.CCI.DDL.IJAAL..JEEL..JKFF.GGKHH.
f: 6.5  g: 5    h: 1.5  ..BBCC..DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 6.5  g: 5    h: 1.5  ..BBCCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 6.5  g: 5    h: 1.5  I.BBCCIDD.L.IJAAL..JEEL..JKFF.GGKHH.
f: 6.5  g: 5    h: 1.5  IBB.CCIJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 6.5  g: 5    h: 1.5  ..BBCC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
